x,y,associated,offered_mbps,goodput_mbps,avg_rtt_ms,rtt_replies,tx_bytes,rx_bytes,loss_ratio,rssi_est_dbm,snr_est_db,seed,run,standard,transport,rateControl,channelWidth
2.000000,3.000000,1,9.996800,6.608000,146.559691,14,3748800,2478000,0.338988,-43.386850,50.602850,1,26,ax,udp,adaptive,20
2.000000,5.000000,1,9.996800,6.556800,147.860775,14,3748800,2458800,0.344110,-48.613670,45.376030,1,27,ax,udp,adaptive,20
2.000000,7.000000,1,9.996800,6.566400,345.749344,12,3748800,2462400,0.343150,-52.541838,41.447862,1,28,ax,udp,adaptive,20
2.000000,9.000000,1,9.996800,6.534400,147.277995,14,3748800,2450400,0.346351,-55.618984,38.370716,1,29,ax,udp,adaptive,20
2.000000,-11.000000,1,9.996800,6.566400,147.854928,14,3748800,2462400,0.343150,-58.131350,35.858350,1,19,ax,udp,adaptive,20
2.000000,-13.000000,1,9.996800,6.585600,146.921998,14,3748800,2469600,0.341229,-60.248392,33.741308,1,18,ax,udp,adaptive,20
2.000000,-15.000000,1,9.996800,6.598400,145.647400,14,3748800,2474400,0.339949,-62.075232,31.914468,1,17,ax,udp,adaptive,20
2.000000,-1.000000,1,9.996800,6.560000,146.965164,14,3748800,2460000,0.343790,-37.162250,56.827450,1,24,ax,udp,adaptive,20
2.000000,-3.000000,1,9.996800,6.592000,145.234433,14,3748800,2472000,0.340589,-43.386850,50.602850,1,23,ax,udp,adaptive,20
2.000000,-5.000000,1,9.996800,6.588800,147.812853,14,3748800,2470800,0.340909,-48.613670,45.376030,1,22,ax,udp,adaptive,20
2.000000,-7.000000,1,9.996800,6.608000,145.454825,14,3748800,2478000,0.338988,-52.541838,41.447862,1,21,ax,udp,adaptive,20
